gene_callers_id	source	accession	function	e_value
5178	COG20_CATEGORY	R	General function prediction only	0
5179	COG20_FUNCTION	COG0402	Cytosine/adenosine deaminase or related metal-dependent hydrolase (SsnA) (PDB:3O7U)	1.6e-43
5179	COG20_CATEGORY	F!!!R	Nucleotide transport and metabolism!!!General function prediction only	0
5179	COG20_PATHWAY	COG0402	Pyrimidine salvage	1.6e-43
5180	COG20_FUNCTION	COG0161	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (BioA) (PDB:1MLY)	2.4e-180
5180	COG20_CATEGORY	H	Coenzyme transport and metabolism	0
5180	COG20_PATHWAY	COG0161	Biotin biosynthesis	2.4e-180
5181	COG20_FUNCTION	COG1012	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase (AdhE) (PDB:1A4S)	8.9e-224
5181	COG20_CATEGORY	I	Lipid transport and metabolism	0
5181	COG20_PATHWAY	COG1012	Proline degradation	8.9e-224
5182	COG20_FUNCTION	COG0388	Omega-amidase YafV/Nit2, hydrolyzes alpha-ketoglutaramate (Nit2) (PUBMED:28373563)	1e-126
5182	COG20_CATEGORY	C	Energy production and conversion	0
5183	COG20_FUNCTION	COG1116	ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component (TauB)	1e-75
5183	COG20_CATEGORY	P	Inorganic ion transport and metabolism	0
5185	COG20_FUNCTION	COG0642!!!COG0745!!!COG0784!!!COG2198	Signal transduction histidine kinase (BaeS) (PDB:1JOY)!!!DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain (OmpR) (PDB:1XHF)!!!CheY-like REC (receiver) domain, includes chemotaxis protein CheY  and sporulation regulator Spo0F (CheY) (PDB:6QRJ)!!!HPt (histidine-containing phosphotransfer) domain (HPtr) (PDB:3IQT)	1.3e-162
5185	COG20_CATEGORY	T!!!T!!!K!!!T!!!T	Signal transduction mechanisms!!!Signal transduction mechanisms!!!Transcription!!!Signal transduction mechanisms!!!Signal transduction mechanisms	0
5187	COG20_FUNCTION	COG3956	Uncharacterized conserved protein YabN, contains tetrapyrrole methylase and MazG-like pyrophosphatase domain (YabN)	1.5e-68
5187	COG20_CATEGORY	R	General function prediction only	0
5189	COG20_FUNCTION	COG0183	Acetyl-CoA acetyltransferase (PaaJ) (PDB:1AFW)	7.9e-114
5189	COG20_CATEGORY	I	Lipid transport and metabolism	0
5189	COG20_PATHWAY	COG0183	Fatty acid biosynthesis	7.9e-114
5190	COG20_FUNCTION	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)	1.6e-75
5190	COG20_CATEGORY	I	Lipid transport and metabolism	0
5190	COG20_PATHWAY	COG1028	Fatty acid biosynthesis	1.6e-75
5192	COG20_FUNCTION	COG0300	Short-chain dehydrogenase (YqjQ)	1.4e-50
5192	COG20_CATEGORY	R	General function prediction only	0
5193	COG20_FUNCTION	COG2124	Cytochrome P450 (CypX) (PDB:3A4Z)	1.9e-103
5193	COG20_CATEGORY	Q!!!V	Secondary metabolites biosynthesis, transport and catabolism!!!Defense mechanisms	0
5193	COG20_PATHWAY	COG2124	Biotin biosynthesis	1.9e-103
5194	COG20_FUNCTION	COG0596	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase MenH and related esterases, alpha/beta hydrolase fold (MenH) (PDB:4MYS)	6.8e-32
5194	COG20_CATEGORY	H!!!R	Coenzyme transport and metabolism!!!General function prediction only	0
5194	COG20_PATHWAY	COG0596	Menaquinone biosynthesis	6.8e-32
5195	COG20_FUNCTION	COG2931	Ca2+-binding protein, RTX toxin-related (PDB:1AF0) (PUBMED:15135544)	7e-11
5195	COG20_CATEGORY	Q	Secondary metabolites biosynthesis, transport and catabolism	0
5196	COG20_FUNCTION	COG0662!!!COG0836	Mannose-6-phosphate isomerase, cupin superfamily (ManC) (PDB:1IPJ)!!!Mannose-1-phosphate guanylyltransferase (CpsB) (PDB:2QH5)	2.5e-212
5196	COG20_CATEGORY	G!!!M	Carbohydrate transport and metabolism!!!Cell wall/membrane/envelope biogenesis	0
5197	COG20_FUNCTION	COG1004	UDP-glucose 6-dehydrogenase (Ugd) (PDB:1DLI)	3.3e-152
5197	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
5198	COG20_FUNCTION	COG0402	Cytosine/adenosine deaminase or related metal-dependent hydrolase (SsnA) (PDB:3O7U)	4.6e-43
5198	COG20_CATEGORY	F!!!R	Nucleotide transport and metabolism!!!General function prediction only	0
5198	COG20_PATHWAY	COG0402	Pyrimidine salvage	4.6e-43
5199	COG20_FUNCTION	COG1957	Inosine-uridine nucleoside N-ribohydrolase (URH1) (PDB:1EZR)	1.6e-93
5199	COG20_CATEGORY	F	Nucleotide transport and metabolism	0
5199	COG20_PATHWAY	COG1957	Pyrimidine salvage	1.6e-93
5200	COG20_FUNCTION	COG0738	Fucose permease (FucP) (PDB:3O7P)	1.1e-77
5200	COG20_CATEGORY	G	Carbohydrate transport and metabolism	0
5201	COG20_FUNCTION	COG5212	cAMP phosphodiesterase (PDE1) (PDB:4OJV)	5.3e-122
5201	COG20_CATEGORY	T	Signal transduction mechanisms	0
5202	COG20_FUNCTION	COG0665	Glycine/D-amino acid oxidase (deaminating) (DadA) (PDB:3AWI)	1.2e-150
5202	COG20_CATEGORY	E	Amino acid transport and metabolism	0
5203	COG20_FUNCTION	COG1295	Uncharacterized membrane protein, BrkB/YihY/UPF0761 family (not an RNase) (BrkB)	1.2e-136
5203	COG20_CATEGORY	S	Function unknown	0
5204	COG20_FUNCTION	COG0514	Superfamily II DNA helicase RecQ (RecQ) (PDB:1OYW)	5.7e-298
5204	COG20_CATEGORY	L	Replication, recombination and repair	0
5205	COG20_FUNCTION	COG4681	Uncharacterized conserved protein YaeQ, suppresses RfaH defect (YaeQ) (PDB:2G3W) (PUBMED:9604894;32214543)	3.7e-87
5205	COG20_CATEGORY	S	Function unknown	0
5206	COG20_FUNCTION	COG3306	Glycosyltransferase involved in LPS biosynthesis, GR25 family	6.3e-11
5206	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
5207	COG20_FUNCTION	COG2271	Sugar phosphate permease (UhpC) (PDB:1PW4)	2.8e-65
5207	COG20_CATEGORY	G	Carbohydrate transport and metabolism	0
5209	COG20_FUNCTION	COG0208	Ribonucleotide reductase beta subunit, ferritin-like domain (NrdB) (PDB:1AV8)	3.6e-186
5209	COG20_CATEGORY	F	Nucleotide transport and metabolism	0
5209	COG20_PATHWAY	COG0208	Pyrimidine salvage	3.6e-186
5210	COG20_FUNCTION	COG0209!!!COG1328	Ribonucleotide reductase alpha subunit (NrdA) (PDB:1R1R)!!!Anaerobic ribonucleoside-triphosphate reductase (NrdD) (PDB:4COI)	0
5210	COG20_CATEGORY	F!!!F	Nucleotide transport and metabolism!!!Nucleotide transport and metabolism	0
5210	COG20_PATHWAY	COG0209!!!COG1328	Pyrimidine salvage!!!Thymidylate biosynthesis	0
5211	COG20_FUNCTION	COG4638	Phenylpropionate dioxygenase or related ring-hydroxylating dioxygenase, large terminal subunit (HcaE) (PDB:4QDC)	7.1e-39
5211	COG20_CATEGORY	P!!!R	Inorganic ion transport and metabolism!!!General function prediction only	0
5212	COG20_FUNCTION	COG0526	Thiol-disulfide isomerase or thioredoxin (TrxA) (PDB:1XFL)	6.3e-22
5212	COG20_CATEGORY	O	Posttranslational modification, protein turnover, chaperones	0
5213	COG20_FUNCTION	COG1773	Flavorubredoxin (NorV) (PDB:4D02)	3.5e-20
5213	COG20_CATEGORY	P	Inorganic ion transport and metabolism	0
5214	COG20_FUNCTION	COG2211	Na+/melibiose symporter or related transporter (MelB) (PDB:4M64)	9e-58
5214	COG20_CATEGORY	G	Carbohydrate transport and metabolism	0
5215	COG20_FUNCTION	COG0517	CBS domain (CBS) (PDB:1B3O)	2e-13
5215	COG20_CATEGORY	T	Signal transduction mechanisms	0
5216	COG20_FUNCTION	COG0810	Periplasmic protein TonB, links inner and outer membranes (TonB) (PDB:1IHR)	1.9e-13
5216	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
5218	COG20_FUNCTION	COG0707	UDP-N-acetylglucosamine:LPS N-acetylglucosamine transferase (MurG) (PDB:1F0K)	3.6e-07
5218	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
5218	COG20_PATHWAY	COG0707	Mureine biosynthesis	3.6e-07
5219	COG20_FUNCTION	COG0773	UDP-N-acetylmuramate-alanine ligase MurC and related ligases, MurC/Mpl family (MurC)	9.9e-108
5219	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
5219	COG20_PATHWAY	COG0773	Mureine biosynthesis	9.9e-108
5220	COG20_FUNCTION	COG1181	D-alanine-D-alanine ligase or related ATP-grasp enzyme (DdlA) (PDB:1E4E)	1.8e-54
5220	COG20_CATEGORY	M!!!R	Cell wall/membrane/envelope biogenesis!!!General function prediction only	0
5220	COG20_PATHWAY	COG1181	Mureine biosynthesis	1.8e-54
5222	COG20_FUNCTION	COG0849	Cell division ATPase FtsA (FtsA) (PDB:3WT0)	3.3e-139
5222	COG20_CATEGORY	D	Cell cycle control, cell division, chromosome partitioning	0
5223	COG20_FUNCTION	COG1292	Choline-glycine betaine transporter (BetT) (PDB:2WIT)	3.5e-312
5223	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
5224	COG20_FUNCTION	COG1846	DNA-binding transcriptional regulator, MarR family (MarR) (PDB:1JGS)	1.7e-75
5224	COG20_CATEGORY	K	Transcription	0
5225	COG20_FUNCTION	COG2914	Putative antitoxin component PasI (RatB) of the RatAB toxin-antitoxin module, ubiquitin-RnfH superfamily (PasI) (PDB:2HJ1) (PUBMED:23055930)	5.7e-44
5225	COG20_CATEGORY	V	Defense mechanisms	0
5226	COG20_FUNCTION	COG2867	Ribosome association toxin PasT (RatA) of the RatAB toxin-antitoxin module (PasT) (PDB:1T17) (PUBMED:21323758)	2.8e-63
5226	COG20_CATEGORY	J	Translation, ribosomal structure and biogenesis	0
5227	COG20_FUNCTION	COG0691	tmRNA-binding protein (SmpB) (PDB:1J1H) (PUBMED:26251518)	2.4e-77
5227	COG20_CATEGORY	O	Posttranslational modification, protein turnover, chaperones	0
5228	COG20_FUNCTION	COG1902	2,4-dienoyl-CoA reductase or related NADH-dependent reductase, Old Yellow Enzyme (OYE) family (FadH) (PDB:1BWK)	2.7e-48
5228	COG20_CATEGORY	C	Energy production and conversion	0
5229	COG20_FUNCTION	COG1999	Cytochrome oxidase Cu insertion factor, SCO1/SenC/PrrC family (Sco1) (PDB:1ON4)	2.6e-09
5229	COG20_CATEGORY	O	Posttranslational modification, protein turnover, chaperones	0
5230	COG20_FUNCTION	COG1612	Heme A synthase (CtaA) (PDB:6A2J)	5.3e-145
5230	COG20_CATEGORY	H	Coenzyme transport and metabolism	0
5231	COG20_FUNCTION	COG1622!!!COG2010	Heme/copper-type cytochrome/quinol oxidase, subunit 2 (CyoA) (PDB:1CYW)!!!Cytochrome c, mono- and diheme variants (CccA) (PDB:1A2S)	1.5e-183
5231	COG20_CATEGORY	C!!!C	Energy production and conversion!!!Energy production and conversion	0
5232	COG20_FUNCTION	COG0843	Heme/copper-type cytochrome/quinol oxidase, subunit 1 (CyoB) (PDB:1AR1)	6.5e-297
5232	COG20_CATEGORY	C	Energy production and conversion	0
5234	COG20_FUNCTION	COG1452	LPS assembly outer membrane protein LptD (organic solvent tolerance protein OstA) (LptD) (PDB:4N4R)	5.2e-158
5234	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
5235	COG20_FUNCTION	COG0760	Peptidyl-prolyl isomerase, parvulin family (SurA) (PDB:2ZR5)	5.3e-201
5235	COG20_CATEGORY	O	Posttranslational modification, protein turnover, chaperones	0
5236	COG20_FUNCTION	COG1995	4-hydroxy-L-threonine phosphate dehydrogenase PdxA (PdxA) (PDB:1PS6)	2.9e-170
5236	COG20_CATEGORY	H	Coenzyme transport and metabolism	0
5236	COG20_PATHWAY	COG1995	Pyridoxal phosphate biosynthesis	2.9e-170
5237	COG20_FUNCTION	COG0030	16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity) (RsmA) (PDB:1QYR)	6.4e-131
5237	COG20_CATEGORY	J	Translation, ribosomal structure and biogenesis	0
5237	COG20_PATHWAY	COG0030	16S rRNA modification	6.4e-131
5238	COG20_FUNCTION	COG2967	Uncharacterized conserved protein ApaG affecting Mg2+/Co2+ transport (ApaG) (PDB:1TZA)	2.3e-41
5238	COG20_CATEGORY	P	Inorganic ion transport and metabolism	0
5239	COG20_FUNCTION	COG1894	NADH:ubiquinone oxidoreductase, NADH-binding 51 kD subunit (chain F) (NuoF) (PDB:2FUG)	4.8e-128
5239	COG20_CATEGORY	C	Energy production and conversion	0
5239	COG20_PATHWAY	COG1894	NADH dehydrogenase	4.8e-128
5240	COG20_FUNCTION	COG1905	NADH:ubiquinone oxidoreductase 24 kD subunit (chain E) (NuoE) (PDB:5XF9)	8.1e-60
5240	COG20_CATEGORY	C	Energy production and conversion	0
5240	COG20_PATHWAY	COG1905	NADH dehydrogenase	8.1e-60
5241	COG20_FUNCTION	COG0649	NADH:ubiquinone oxidoreductase 49 kD subunit (chain D) (NuoD) (PDB:2FUG)	9.8e-224
5241	COG20_CATEGORY	C	Energy production and conversion	0
5241	COG20_PATHWAY	COG0649	NADH dehydrogenase	9.8e-224
5242	COG20_FUNCTION	COG0852	NADH:ubiquinone oxidoreductase 27 kD subunit (chain C) (NuoC)	1.8e-83
5242	COG20_CATEGORY	C	Energy production and conversion	0
5242	COG20_PATHWAY	COG0852	NADH dehydrogenase	1.8e-83
5243	COG20_FUNCTION	COG0377	NADH:ubiquinone oxidoreductase 20 kD subunit (chain B) or related Fe-S oxidoreductase (NuoB) (PDB:2FUG) (PUBMED:25941396)	1.7e-86
5243	COG20_CATEGORY	C	Energy production and conversion	0
5243	COG20_PATHWAY	COG0377	NADH dehydrogenase	1.7e-86
5244	COG20_FUNCTION	COG0838	NADH:ubiquinone oxidoreductase subunit 3 (chain A) (NuoA) (PDB:3RKO)	1.6e-51
5244	COG20_CATEGORY	C	Energy production and conversion	0
5244	COG20_PATHWAY	COG0838	NADH dehydrogenase	1.6e-51
5245	COG20_FUNCTION	COG0029	Aspartate oxidase (NadB) (PDB:1KNP)	1.2e-178
5245	COG20_CATEGORY	H	Coenzyme transport and metabolism	0
5245	COG20_PATHWAY	COG0029	NAD biosynthesis	1.2e-178
5246	COG20_FUNCTION	COG0242	Peptide deformylase (Def) (PDB:1BS4)	4.9e-78
5246	COG20_CATEGORY	J	Translation, ribosomal structure and biogenesis	0
5247	COG20_FUNCTION	COG0042	tRNA-dihydrouridine synthase (DusA) (PDB:1VHN)	6.7e-156
5247	COG20_CATEGORY	J	Translation, ribosomal structure and biogenesis	0
5247	COG20_PATHWAY	COG0042	tRNA modification	6.7e-156
5248	COG20_FUNCTION	COG2901	DNA-binding protein Fis (factor for inversion stimulation) (Fis) (PDB:1ETK)	3.5e-31
5248	COG20_CATEGORY	K	Transcription	0
5249	COG20_FUNCTION	COG0138	AICAR transformylase/IMP cyclohydrolase PurH (PurH) (PDB:1G8M)	4.8e-219
5249	COG20_CATEGORY	F	Nucleotide transport and metabolism	0
5249	COG20_PATHWAY	COG0138	Purine biosynthesis	4.8e-219
5250	COG20_FUNCTION	COG2376	Dihydroxyacetone kinase (DAK1) (PDB:1UN8)	9.5e-58
5250	COG20_CATEGORY	G	Carbohydrate transport and metabolism	0
5250	COG20_PATHWAY	COG2376	Isoprenoid biosynthesis	9.5e-58
5251	COG20_FUNCTION	COG2376	Dihydroxyacetone kinase (DAK1) (PDB:1UN8)	4.8e-133
5251	COG20_CATEGORY	G	Carbohydrate transport and metabolism	0
5251	COG20_PATHWAY	COG2376	Isoprenoid biosynthesis	4.8e-133
5252	COG20_FUNCTION	COG0647	Ribonucleotide monophosphatase NagD, HAD superfamily (NagD) (PDB:1PW5)	4e-96
5252	COG20_CATEGORY	F	Nucleotide transport and metabolism	0
5253	COG20_FUNCTION	COG0269	3-keto-L-gulonate-6-phosphate decarboxylase (UlaD) (PDB:3F4W)	3.2e-98
5253	COG20_CATEGORY	G	Carbohydrate transport and metabolism	0
5255	COG20_FUNCTION	COG0176	Transaldolase/fructose-6-phosphate aldolase (TalA) (PDB:1F05)	4.5e-11
5255	COG20_CATEGORY	G	Carbohydrate transport and metabolism	0
5255	COG20_PATHWAY	COG0176	Pentose phosphate pathway	4.5e-11
5256	COG20_FUNCTION	COG2747	Negative regulator of flagellin synthesis (anti-sigma28 factor) (FlgM)	1.6e-32
5256	COG20_CATEGORY	K!!!N	Transcription!!!Cell motility	0
5257	COG20_FUNCTION	COG1261	Flagellar basal body P-ring formation protein FlgA (FlgA) (PDB:3VJP)	1e-79
5257	COG20_CATEGORY	N	Cell motility	0
5258	COG20_FUNCTION	COG0784!!!COG0835	CheY-like REC (receiver) domain, includes chemotaxis protein CheY  and sporulation regulator Spo0F (CheY) (PDB:6QRJ)!!!Chemotaxis signal transduction protein CheW (CheW) (PDB:2QDL)	1.9e-163
5258	COG20_CATEGORY	T!!!T	Signal transduction mechanisms!!!Signal transduction mechanisms	0
5259	COG20_FUNCTION	COG1352	Methylase of chemotaxis methyl-accepting proteins (CheR) (PDB:1AF7)	1.2e-108
5259	COG20_CATEGORY	T	Signal transduction mechanisms	0
5260	COG20_FUNCTION	COG1815	Flagellar basal body rod protein FlgB (FlgB)	4.4e-59
5260	COG20_CATEGORY	N	Cell motility	0
5261	COG20_FUNCTION	COG1558	Flagellar basal body rod protein FlgC (FlgC)	1.3e-63
5261	COG20_CATEGORY	N	Cell motility	0
5262	COG20_FUNCTION	COG0250	Transcription termination/antitermination protein NusG (NusG) (PDB:3EWG) (PUBMED:19500594)	3.2e-38
5262	COG20_CATEGORY	K	Transcription	0
5269	COG20_FUNCTION	COG2199!!!COG3292	GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants (GGDEF) (PDB:6D9M)!!!Periplasmic ligand-binding sensor domain (PDB:4A2L)	9.8e-221
5269	COG20_CATEGORY	T!!!T	Signal transduction mechanisms!!!Signal transduction mechanisms	0
5270	COG20_FUNCTION	COG0702	Uncharacterized conserved protein YbjT, contains NAD(P)-binding and DUF2867 domains (YbjT) (PDB:5L3Z)	1.6e-89
5270	COG20_CATEGORY	R	General function prediction only	0
5271	COG20_FUNCTION	COG5135	Uncharacterized conserved protein (PDB:2I51)	9.4e-78
5271	COG20_CATEGORY	S	Function unknown	0
5272	COG20_FUNCTION	COG0084	3'->5' ssDNA/RNA exonuclease TatD (TatD) (PDB:1J6O) (PUBMED:10747959;25114049)	4e-98
5272	COG20_CATEGORY	N	Cell motility	0
5273	COG20_FUNCTION	COG5285	Ectoine hydroxylase-related dioxygenase, phytanoyl-CoA dioxygenase (PhyH) family (PhyH) (PDB:2A1X)	1.5e-127
5273	COG20_CATEGORY	Q	Secondary metabolites biosynthesis, transport and catabolism	0
5274	COG20_FUNCTION	COG1585	Membrane protein implicated in regulation of membrane protease activity (YbbJ) (PDB:2EXD)	6.3e-53
5274	COG20_CATEGORY	O	Posttranslational modification, protein turnover, chaperones	0
5275	COG20_FUNCTION	COG0461	Orotate phosphoribosyltransferase (PyrE) (PDB:4WML)	2e-95
5275	COG20_CATEGORY	F	Nucleotide transport and metabolism	0
5275	COG20_PATHWAY	COG0461	Pyrimidine biosynthesis	2e-95
5276	COG20_FUNCTION	COG0708	Exonuclease III (XthA) (PDB:1AKO)	9.7e-142
5276	COG20_CATEGORY	L	Replication, recombination and repair	0
5277	COG20_FUNCTION	COG0220	tRNA G46 N7-methylase TrmB (TrmB) (PDB:1YZH) (PUBMED:19373903;16600901)	4.6e-106
5277	COG20_CATEGORY	J	Translation, ribosomal structure and biogenesis	0
5277	COG20_PATHWAY	COG0220	tRNA modification	4.6e-106
5278	COG20_FUNCTION	COG3030	FxsA protein affecting phage T7 exclusion by the F plasmid, UPF0716 family (FxsA)	1e-61
5278	COG20_CATEGORY	R	General function prediction only	0
5279	COG20_FUNCTION	COG0285	Folylpolyglutamate synthase/Dihydropteroate synthase (FolC) (PDB:1W78)	7.4e-17
5279	COG20_CATEGORY	H	Coenzyme transport and metabolism	0
5279	COG20_PATHWAY	COG0285	Folate biosynthesis	7.4e-17
5280	COG20_FUNCTION	COG0489!!!COG3206	Fe-S cluster carrier ATPase, Mrp/ApbC/NBP35 family (Mrp) (PDB:2PH1) (PUBMED:18616280;19114487;31709520)!!!Exopolysaccharide export protein/domain GumC/Wzc1 (GumC) (PUBMED:15003255;23089617)	6.5e-217
5280	COG20_CATEGORY	D!!!M	Cell cycle control, cell division, chromosome partitioning!!!Cell wall/membrane/envelope biogenesis	0
5281	COG20_FUNCTION	COG1596	Periplasmic protein Wza involved in polysaccharide export, contains SLBB domain of the beta-grasp fold (Wza) (PDB:2J58) (PUBMED:17250770)	2.4e-73
5281	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
5282	COG20_FUNCTION	COG5338	Uncharacterized conserved protein	3.5e-154
5282	COG20_CATEGORY	S	Function unknown	0
5283	COG20_FUNCTION	COG2854	Periplasmic subunit MlaC of the ABC-type intermembrane phospholipid transporter Mla (MlaC) (PDB:2QGU) (PUBMED:19383799)	1.7e-07
5283	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
5284	COG20_FUNCTION	COG5007	Acid stress protein IbaG/YrbA, BolA-like family (IbaG) (PDB:1NY8) (PUBMED:22534295)	1.6e-09
5284	COG20_CATEGORY	T	Signal transduction mechanisms	0
5285	COG20_FUNCTION	COG0766	UDP-N-acetylglucosamine enolpyruvyl transferase (MurA) (PDB:1A2N)	9.4e-134
5285	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
5285	COG20_PATHWAY	COG0766	Mureine biosynthesis	9.4e-134
5286	COG20_FUNCTION	COG0265	Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain (DegQ) (PDB:2HGA) (PUBMED:29686141)	1.4e-47
5286	COG20_CATEGORY	O	Posttranslational modification, protein turnover, chaperones	0
5287	COG20_FUNCTION	COG1485	Cell division protein ZapE (Z ring-associated ATPase), AFG1 superfamily (ZapE)	7.4e-52
5287	COG20_CATEGORY	D	Cell cycle control, cell division, chromosome partitioning	0
5288	COG20_FUNCTION	COG0102	Ribosomal protein L13 (RplM) (PDB:1VS6)	2.1e-31
5288	COG20_CATEGORY	J	Translation, ribosomal structure and biogenesis	0
5288	COG20_PATHWAY	COG0102	Ribosome 50S subunit	2.1e-31
5289	COG20_FUNCTION	COG1612	Heme A synthase (CtaA) (PDB:6A2J)	1.1e-51
5289	COG20_CATEGORY	H	Coenzyme transport and metabolism	0
5290	COG20_FUNCTION	COG1999	Cytochrome oxidase Cu insertion factor, SCO1/SenC/PrrC family (Sco1) (PDB:1ON4)	2.3e-08
5290	COG20_CATEGORY	O	Posttranslational modification, protein turnover, chaperones	0
5291	COG20_FUNCTION	COG3346	Cytochrome oxidase assembly protein ShyY1 (Shy1)	2.4e-17
5291	COG20_CATEGORY	O	Posttranslational modification, protein turnover, chaperones	0
5292	COG20_FUNCTION	COG1845	Heme/copper-type cytochrome/quinol oxidase, subunit 3 (CyoC) (PDB:1QLE)	2.6e-106
5292	COG20_CATEGORY	C	Energy production and conversion	0
5293	COG20_FUNCTION	COG3175	Cytochrome c oxidase assembly protein Cox11 (COX11) (PDB:1SO9)	1.8e-44
5293	COG20_CATEGORY	C!!!O	Energy production and conversion!!!Posttranslational modification, protein turnover, chaperones	0
5294	COG20_FUNCTION	COG0843	Heme/copper-type cytochrome/quinol oxidase, subunit 1 (CyoB) (PDB:1AR1)	4.9e-32
5294	COG20_CATEGORY	C	Energy production and conversion	0
5295	COG20_FUNCTION	COG0689	Ribonuclease PH (Rph) (PDB:1UDO)	2.7e-49
5295	COG20_CATEGORY	J	Translation, ribosomal structure and biogenesis	0
5296	COG20_FUNCTION	COG0127	Inosine/xanthosine triphosphate pyrophosphatase, all-alpha NTP-PPase family (RdgB) (PDB:1B78)	1.7e-56
5296	COG20_CATEGORY	F	Nucleotide transport and metabolism	0
5297	COG20_FUNCTION	COG0313	16S rRNA C1402 (ribose-2'-O) methylase RsmI (RsmI) (PDB:3KWP) (PUBMED:24078611)	4.4e-50
5297	COG20_CATEGORY	J	Translation, ribosomal structure and biogenesis	0
5297	COG20_PATHWAY	COG0313	16S rRNA modification	4.4e-50
5298	COG20_FUNCTION	COG0189	Glutathione synthase, LysX or RimK-type ligase, ATP-grasp superfamily (LysX) (PDB:1GLV)	5.4e-94
5298	COG20_CATEGORY	E!!!H!!!J!!!Q	Amino acid transport and metabolism!!!Coenzyme transport and metabolism!!!Translation, ribosomal structure and biogenesis!!!Secondary metabolites biosynthesis, transport and catabolism	0
5298	COG20_PATHWAY	COG0189	Lysine biosynthesis	5.4e-94
5299	COG20_FUNCTION	COG0280!!!COG0281	Phosphotransacetylase (includes Pta, EutD and phosphobutyryltransferase) (Pta) (PDB:1QZT) (PUBMED:28754323)!!!Malic enzyme (SfcA) (PDB:1DO8)	4.4e-127
5299	COG20_CATEGORY	C!!!C	Energy production and conversion!!!Energy production and conversion	0
5299	COG20_PATHWAY	COG0280!!!COG0281	Urea cycle	4.4e-127
5300	COG20_FUNCTION	COG0334	Glutamate dehydrogenase/leucine dehydrogenase (GdhA) (PDB:1B3B) (PUBMED:24391520)	1.3e-84
5300	COG20_CATEGORY	E	Amino acid transport and metabolism	0
5300	COG20_PATHWAY	COG0334	Glutamine biosynthesis	1.3e-84
5301	COG20_FUNCTION	COG1522	DNA-binding transcriptional regulator, Lrp family (Lrp) (PDB:1I1G)	7.1e-79
5301	COG20_CATEGORY	K	Transcription	0
5302	COG20_FUNCTION	COG0625	Glutathione S-transferase (GstA) (PDB:1A0F)	5.7e-98
5302	COG20_CATEGORY	O	Posttranslational modification, protein turnover, chaperones	0
5303	COG20_FUNCTION	COG0179	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway) (YcgM) (PDB:1GTT)	1.3e-162
5303	COG20_CATEGORY	Q	Secondary metabolites biosynthesis, transport and catabolism	0
5304	COG20_FUNCTION	COG3283	Transcriptional regulator TyrR of aromatic amino acids metabolism (TyrR) (PDB:1G2H)	3.4e-131
5304	COG20_CATEGORY	K!!!E	Transcription!!!Amino acid transport and metabolism	0
5305	COG20_FUNCTION	COG4232	Thiol:disulfide interchange protein DsbD (DsbD) (PDB:1JPE)	4.7e-124
5305	COG20_CATEGORY	O	Posttranslational modification, protein turnover, chaperones	0
5306	COG20_FUNCTION	COG3030	FxsA protein affecting phage T7 exclusion by the F plasmid, UPF0716 family (FxsA)	3.2e-51
5306	COG20_CATEGORY	R	General function prediction only	0
5307	COG20_FUNCTION	COG0234	Co-chaperonin GroES (HSP10) (GroES)	1.1e-42
5307	COG20_CATEGORY	O	Posttranslational modification, protein turnover, chaperones	0
5308	COG20_FUNCTION	COG0459	Chaperonin GroEL (HSP60 family) (GroEL) (PDB:1AON)	1.1e-261
5308	COG20_CATEGORY	O	Posttranslational modification, protein turnover, chaperones	0
5309	COG20_FUNCTION	COG4565	DNA-binding response regulator DpiB of citrate/malate metabolism (CitB)	2.6e-53
5309	COG20_CATEGORY	K!!!T	Transcription!!!Signal transduction mechanisms	0
5310	COG20_FUNCTION	COG1960	Acyl-CoA dehydrogenase related to the alkylation response protein AidB (CaiA) (PDB:1BUC)	2.6e-191
5310	COG20_CATEGORY	I	Lipid transport and metabolism	0
5310	COG20_PATHWAY	COG1960	Fatty acid biosynthesis	2.6e-191
